turn,pct_explored
0,1.0309278350515463
1,2.0618556701030926
2,3.0927835051546393
3,4.123711340206185
4,5.154639175257731
5,6.185567010309279
6,7.216494845360824
7,8.24742268041237
8,9.278350515463918
9,10.309278350515463
10,10.309278350515463
11,10.309278350515463
12,10.309278350515463
13,10.309278350515463
14,10.309278350515463
15,11.34020618556701
16,12.371134020618557
17,13.402061855670103
18,14.432989690721648
19,15.463917525773196
20,15.463917525773196
21,15.463917525773196
22,15.463917525773196
23,15.463917525773196
24,15.463917525773196
25,15.463917525773196
26,16.49484536082474
27,17.525773195876287
28,18.556701030927837
29,19.587628865979383
30,20.618556701030926
31,21.649484536082475
32,21.649484536082475
33,21.649484536082475
34,22.68041237113402
35,23.711340206185564
36,24.742268041237114
37,25.773195876288657
38,26.804123711340207
39,27.835051546391753
40,28.865979381443296
41,28.865979381443296
42,29.896907216494846
43,30.927835051546392
44,31.958762886597935
45,32.98969072164948
46,32.98969072164948
47,32.98969072164948
48,32.98969072164948
49,32.98969072164948
50,32.98969072164948
51,34.02061855670103
52,35.051546391752574
53,36.08247422680412
54,37.11340206185567
55,38.144329896907216
56,39.175257731958766
57,40.20618556701031
58,41.23711340206185
59,42.2680412371134
60,43.29896907216495
61,44.329896907216494
62,44.329896907216494
63,44.329896907216494
64,44.329896907216494
65,45.36082474226804
66,45.36082474226804
67,45.36082474226804
68,45.36082474226804
69,45.36082474226804
70,46.391752577319586
71,46.391752577319586
72,46.391752577319586
73,46.391752577319586
74,46.391752577319586
75,47.42268041237113
76,47.42268041237113
77,48.45360824742268
78,49.48453608247423
79,50.51546391752577
80,51.546391752577314
81,51.546391752577314
82,52.57731958762887
83,52.57731958762887
84,52.57731958762887
85,52.57731958762887
86,52.57731958762887
87,52.57731958762887
88,52.57731958762887
89,53.608247422680414
90,53.608247422680414
91,53.608247422680414
92,53.608247422680414
93,53.608247422680414
94,54.63917525773196
95,54.63917525773196
96,54.63917525773196
97,54.63917525773196
98,54.63917525773196
99,54.63917525773196
