turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,1.0309278350515463,0.8403361344537815,1.0,1.0
1,3.0927835051546393,1.680672268907563,1.0,0.5
2,5.154639175257731,3.361344537815126,0.6666666666666666,0.5
3,8.24742268041237,5.88235294117647,0.6,0.5
4,11.34020618556701,8.403361344537815,0.5,0.42857142857142855
5,14.432989690721648,10.92436974789916,0.42857142857142855,0.375
6,18.556701030927837,15.126050420168067,0.4444444444444444,0.5
7,20.618556701030926,17.647058823529413,0.2222222222222222,0.3333333333333333
8,25.773195876288657,21.84873949579832,0.5,0.5
9,29.896907216494846,25.210084033613445,0.4444444444444444,0.4
10,35.051546391752574,29.411764705882355,0.5555555555555556,0.5
11,40.20618556701031,34.45378151260504,0.5,0.6
12,43.29896907216495,37.81512605042017,0.375,0.4
13,47.42268041237113,42.016806722689076,0.4,0.5
14,52.57731958762887,47.05882352941176,0.5,0.6
15,58.76288659793815,52.10084033613446,0.6,0.6
16,61.855670103092784,55.46218487394958,0.3,0.4
17,65.97938144329896,59.66386554621849,0.4,0.5
18,68.04123711340206,63.02521008403361,0.2,0.4444444444444444
19,70.10309278350515,65.54621848739495,0.2,0.3333333333333333
20,73.19587628865979,69.74789915966386,0.3,0.5
21,75.25773195876289,71.42857142857143,0.2222222222222222,0.2
22,77.31958762886599,73.10924369747899,0.2222222222222222,0.2
23,80.41237113402062,75.63025210084034,0.3,0.3
24,82.4742268041237,78.99159663865547,0.2,0.4
25,83.50515463917526,79.83193277310924,0.1111111111111111,0.1
26,84.5360824742268,80.67226890756302,0.1,0.1
27,86.5979381443299,82.35294117647058,0.2,0.2
28,88.65979381443299,84.03361344537815,0.2,0.2
29,88.65979381443299,84.87394957983193,0.0,0.1
30,89.69072164948454,86.5546218487395,0.1,0.2
31,90.72164948453609,89.07563025210085,0.1,0.3
32,91.75257731958763,89.91596638655463,0.1,0.1
33,92.78350515463917,90.75630252100841,0.125,0.1
34,92.78350515463917,90.75630252100841,0.0,0.0
35,93.81443298969072,91.59663865546219,0.1111111111111111,0.1
36,94.84536082474226,92.43697478991596,0.1,0.1
37,95.87628865979381,93.27731092436974,0.1111111111111111,0.1
38,96.90721649484536,94.11764705882352,0.1,0.1
39,97.9381443298969,94.9579831932773,0.1,0.1111111111111111
40,97.9381443298969,94.9579831932773,0.0,0.0
41,98.96907216494846,95.7983193277311,0.1,0.1
42,100.0,96.63865546218487,0.1111111111111111,0.1
43,100.0,96.63865546218487,0.0,0.0
44,100.0,96.63865546218487,0.0,0.0
45,100.0,97.47899159663865,0.0,0.1
46,100.0,97.47899159663865,0.0,0.0
47,100.0,97.47899159663865,0.0,0.0
48,100.0,98.31932773109243,0.0,0.1111111111111111
49,100.0,98.31932773109243,0.0,0.0
50,100.0,98.31932773109243,0.0,0.0
51,100.0,98.31932773109243,0.0,0.0
52,100.0,98.31932773109243,0.0,0.0
53,100.0,98.31932773109243,0.0,0.0
54,100.0,98.31932773109243,0.0,0.0
55,100.0,99.15966386554622,0.0,0.1
56,100.0,99.15966386554622,0.0,0.0
57,100.0,99.15966386554622,0.0,0.0
58,100.0,99.15966386554622,0.0,0.0
59,100.0,99.15966386554622,0.0,0.0
60,100.0,99.15966386554622,0.0,0.0
61,100.0,99.15966386554622,0.0,0.0
62,100.0,99.15966386554622,0.0,0.0
63,100.0,99.15966386554622,0.0,0.0
64,100.0,99.15966386554622,0.0,0.0
65,100.0,99.15966386554622,0.0,0.0
66,100.0,99.15966386554622,0.0,0.0
67,100.0,99.15966386554622,0.0,0.0
68,100.0,99.15966386554622,0.0,0.0
69,100.0,99.15966386554622,0.0,0.0
70,100.0,99.15966386554622,0.0,0.0
71,100.0,99.15966386554622,0.0,0.0
72,100.0,99.15966386554622,0.0,0.0
73,100.0,99.15966386554622,0.0,0.0
74,100.0,99.15966386554622,0.0,0.0
75,100.0,99.15966386554622,0.0,0.0
76,100.0,99.15966386554622,0.0,0.0
77,100.0,99.15966386554622,0.0,0.0
78,100.0,99.15966386554622,0.0,0.0
79,100.0,99.15966386554622,0.0,0.0
80,100.0,99.15966386554622,0.0,0.0
81,100.0,99.15966386554622,0.0,0.0
82,100.0,99.15966386554622,0.0,0.0
83,100.0,99.15966386554622,0.0,0.0
84,100.0,99.15966386554622,0.0,0.0
85,100.0,99.15966386554622,0.0,0.0
86,100.0,99.15966386554622,0.0,0.0
87,100.0,99.15966386554622,0.0,0.0
88,100.0,99.15966386554622,0.0,0.0
89,100.0,99.15966386554622,0.0,0.0
90,100.0,99.15966386554622,0.0,0.0
91,100.0,99.15966386554622,0.0,0.0
92,100.0,99.15966386554622,0.0,0.0
93,100.0,99.15966386554622,0.0,0.0
94,100.0,99.15966386554622,0.0,0.0
95,100.0,99.15966386554622,0.0,0.0
96,100.0,99.15966386554622,0.0,0.0
97,100.0,99.15966386554622,0.0,0.0
98,100.0,99.15966386554622,0.0,0.0
99,100.0,99.15966386554622,0.0,0.0
