turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,0.02979737783075089,0.02610966057441253,1.0,1.0
1,0.08939213349225268,0.05221932114882506,1.0,0.5
2,0.14898688915375446,0.10443864229765012,0.6666666666666666,0.5
3,0.23837902264600713,0.18276762402088773,0.6,0.5
4,0.32777115613825986,0.26109660574412535,0.5,0.42857142857142855
5,0.4469606674612634,0.36553524804177545,0.5,0.4444444444444444
6,0.5363528009535161,0.44386422976501305,0.42857142857142855,0.3
7,0.6257449344457688,0.5221932114882507,0.3333333333333333,0.3
8,0.7151370679380215,0.6005221932114883,0.375,0.3
9,0.8045292014302742,0.6788511749347258,0.42857142857142855,0.3
10,0.834326579261025,0.7310704960835509,0.125,0.2222222222222222
11,0.9535160905840285,0.835509138381201,0.4,0.4
12,1.102502979737783,0.9660574412532636,0.5,0.5
13,1.2514898688915377,1.0966057441253265,0.5,0.5
14,1.400476758045292,1.2532637075718016,0.5,0.6
15,1.5494636471990464,1.3838120104438643,0.5,0.5
16,1.6388557806912993,1.4621409921671018,0.3,0.3
17,1.7878426698450536,1.5926892950391645,0.5,0.5
18,1.907032181168057,1.723237597911227,0.4444444444444444,0.5
19,1.936829558998808,1.7754569190600522,0.1,0.2
20,1.9964243146603098,1.8276762402088773,0.2,0.2
21,2.056019070321812,1.9060052219321149,0.2,0.3
22,2.1156138259833135,1.95822454308094,0.2222222222222222,0.2222222222222222
23,2.1752085816448155,2.010443864229765,0.2,0.2
24,2.234803337306317,2.06266318537859,0.2222222222222222,0.2
25,2.294398092967819,2.114882506527415,0.2,0.2
26,2.4135876042908224,2.219321148825065,0.4,0.4
27,2.4731823599523244,2.3237597911227157,0.2,0.4
28,2.532777115613826,2.3759791122715406,0.2,0.2
29,2.622169249106079,2.4804177545691903,0.3,0.4
30,2.7115613825983313,2.5587467362924285,0.3,0.3
31,2.830750893921335,2.6631853785900783,0.4,0.4
32,2.9201430274135878,2.741514360313316,0.3,0.3
33,3.0393325387365913,2.845953002610966,0.4,0.4
34,3.158522050059595,2.950391644908616,0.4,0.4
35,3.2777115613825987,3.0548302872062663,0.4,0.4
36,3.367103694874851,3.1592689295039165,0.3,0.4
37,3.426698450536353,3.263707571801567,0.2,0.4
38,3.4862932061978547,3.3159268929503916,0.2,0.2
39,3.545887961859356,3.3681462140992164,0.2,0.2
40,3.635280095351609,3.446475195822454,0.3,0.3
41,3.7246722288438616,3.524804177545692,0.3,0.3
42,3.7544696066746126,3.577023498694517,0.1,0.2
43,3.814064362336114,3.6292428198433417,0.2,0.2
44,3.843861740166865,3.681462140992167,0.1111111111111111,0.2222222222222222
45,3.873659117997616,3.7075718015665795,0.1,0.1
46,3.873659117997616,3.733681462140992,0.0,0.1
47,3.873659117997616,3.733681462140992,0.0,0.0
48,3.903456495828367,3.759791122715405,0.1,0.1
49,3.9332538736591176,3.7859007832898173,0.1,0.1
50,3.9630512514898686,3.8120104438642297,0.1,0.1
51,4.022646007151371,3.8642297650130546,0.2,0.2
52,4.052443384982122,3.8903394255874675,0.1,0.1
53,4.082240762812873,3.91644908616188,0.1,0.1
54,4.141835518474375,3.968668407310705,0.2,0.2
55,4.201430274135876,4.02088772845953,0.2,0.2
56,4.261025029797378,4.073107049608355,0.2,0.2
57,4.32061978545888,4.12532637075718,0.2,0.2
58,4.380214541120382,4.177545691906006,0.2,0.2
59,4.439809296781883,4.22976501305483,0.2,0.2
60,4.499404052443385,4.281984334203655,0.2,0.2
61,4.558998808104887,4.33420365535248,0.2,0.2
62,4.618593563766389,4.386422976501306,0.2,0.2
63,4.67818831942789,4.43864229765013,0.2,0.2
64,4.737783075089392,4.490861618798955,0.2,0.2
65,4.767580452920143,4.516971279373369,0.1,0.1
66,4.827175208581645,4.569190600522193,0.2,0.2222222222222222
67,4.856972586412396,4.6214099216710185,0.1,0.2
68,4.856972586412396,4.6214099216710185,0.0,0.0
69,4.856972586412396,4.6214099216710185,0.0,0.0
70,4.856972586412396,4.6214099216710185,0.0,0.0
71,4.916567342073898,4.673629242819843,0.2,0.2
72,4.946364719904649,4.699738903394255,0.1,0.1
73,4.9761620977354,4.725848563968668,0.1,0.1
74,5.005959475566151,4.751958224543081,0.1111111111111111,0.1
75,5.035756853396902,4.778067885117494,0.1,0.1
76,5.095351609058403,4.830287206266318,0.2,0.2
77,5.154946364719905,4.882506527415144,0.2,0.2
78,5.214541120381407,4.934725848563969,0.2,0.2
79,5.274135876042909,4.986945169712794,0.2,0.2
80,5.33373063170441,5.039164490861618,0.2,0.2
81,5.363528009535161,5.091383812010443,0.1,0.2
82,5.393325387365912,5.117493472584857,0.1,0.1
83,5.452920143027414,5.169712793733681,0.2,0.2
84,5.512514898688916,5.221932114882506,0.2,0.2
85,5.542312276519666,5.24804177545692,0.1,0.1
86,5.572109654350417,5.300261096605744,0.1,0.2
87,5.601907032181168,5.326370757180157,0.1,0.1
88,5.631704410011919,5.352480417754569,0.1,0.1
89,5.691299165673421,5.404699738903394,0.2,0.2
90,5.750893921334923,5.456919060052219,0.2,0.2
91,5.780691299165673,5.483028720626632,0.1,0.1
92,5.780691299165673,5.483028720626632,0.0,0.0
93,5.8402860548271756,5.535248041775457,0.2,0.2
94,5.8998808104886775,5.587467362924282,0.2,0.2
95,5.959475566150179,5.639686684073107,0.2,0.2
96,5.98927294398093,5.691906005221932,0.1,0.2
97,6.019070321811681,5.718015665796345,0.1,0.1
98,6.0488676996424315,5.7441253263707575,0.1,0.1
99,6.0786650774731825,5.7702349869451695,0.1,0.1
