turn,pct_explored,novelty_score
0,1.0309278350515463,1.0
1,5.154639175257731,1.0
2,8.24742268041237,0.75
3,9.278350515463918,0.2
4,10.309278350515463,0.2
5,12.371134020618557,0.3333333333333333
6,13.402061855670103,0.16666666666666666
7,14.432989690721648,0.14285714285714285
8,15.463917525773196,0.16666666666666666
9,16.49484536082474,0.16666666666666666
10,17.525773195876287,0.14285714285714285
11,18.556701030927837,0.125
12,19.587628865979383,0.14285714285714285
13,20.618556701030926,0.14285714285714285
14,21.649484536082475,0.125
15,22.68041237113402,0.1111111111111111
16,23.711340206185564,0.14285714285714285
17,24.742268041237114,0.125
18,24.742268041237114,0.0
19,25.773195876288657,0.1
20,26.804123711340207,0.125
21,27.835051546391753,0.125
22,28.865979381443296,0.1
23,29.896907216494846,0.1111111111111111
24,30.927835051546392,0.125
25,30.927835051546392,0.0
26,30.927835051546392,0.0
27,30.927835051546392,0.0
28,30.927835051546392,0.0
29,30.927835051546392,0.0
30,31.958762886597935,0.1
31,34.02061855670103,0.2222222222222222
32,35.051546391752574,0.1111111111111111
33,36.08247422680412,0.125
34,36.08247422680412,0.0
35,36.08247422680412,0.0
36,36.08247422680412,0.0
37,37.11340206185567,0.1111111111111111
38,37.11340206185567,0.0
39,38.144329896907216,0.1
40,38.144329896907216,0.0
41,39.175257731958766,0.1111111111111111
42,41.23711340206185,0.2222222222222222
43,42.2680412371134,0.1111111111111111
44,43.29896907216495,0.14285714285714285
45,44.329896907216494,0.125
46,45.36082474226804,0.1111111111111111
47,46.391752577319586,0.1111111111111111
48,47.42268041237113,0.125
49,48.45360824742268,0.125
50,48.45360824742268,0.0
51,48.45360824742268,0.0
52,48.45360824742268,0.0
53,48.45360824742268,0.0
54,48.45360824742268,0.0
55,48.45360824742268,0.0
56,48.45360824742268,0.0
57,48.45360824742268,0.0
58,49.48453608247423,0.1111111111111111
59,50.51546391752577,0.1111111111111111
60,51.546391752577314,0.125
61,52.57731958762887,0.125
62,53.608247422680414,0.1111111111111111
63,54.63917525773196,0.1111111111111111
64,55.670103092783506,0.125
65,56.70103092783505,0.125
66,57.73195876288659,0.1111111111111111
67,58.76288659793815,0.1111111111111111
68,59.79381443298969,0.125
69,59.79381443298969,0.0
70,60.824742268041234,0.1111111111111111
71,60.824742268041234,0.0
72,60.824742268041234,0.0
73,60.824742268041234,0.0
74,61.855670103092784,0.1111111111111111
75,62.88659793814433,0.125
76,63.91752577319587,0.14285714285714285
77,64.94845360824742,0.125
78,64.94845360824742,0.0
79,65.97938144329896,0.1111111111111111
80,67.0103092783505,0.125
81,68.04123711340206,0.125
82,69.0721649484536,0.1111111111111111
83,69.0721649484536,0.0
84,69.0721649484536,0.0
85,70.10309278350515,0.125
86,71.1340206185567,0.1111111111111111
87,72.16494845360825,0.1111111111111111
88,73.19587628865979,0.125
89,74.22680412371135,0.125
90,74.22680412371135,0.0
91,74.22680412371135,0.0
92,74.22680412371135,0.0
93,74.22680412371135,0.0
94,74.22680412371135,0.0
95,74.22680412371135,0.0
96,74.22680412371135,0.0
97,74.22680412371135,0.0
98,74.22680412371135,0.0
99,74.22680412371135,0.0
