turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
110,50.0,47.76386404293381,0.3,0.3,255,267
111,50.3921568627451,48.3005366726297,0.2,0.3,257,270
112,50.588235294117645,48.658318425760285,0.1,0.2,258,272
113,50.98039215686274,49.01610017889087,0.2,0.2,260,274
114,51.37254901960784,49.37388193202147,0.2,0.2,262,276
115,51.76470588235295,49.73166368515206,0.2222222222222222,0.2,264,278
116,52.352941176470594,50.268336314847936,0.3,0.3,267,281
117,52.94117647058824,50.80500894454383,0.3,0.3,270,284
118,53.333333333333336,51.162790697674424,0.2,0.2,272,286
119,53.92156862745098,51.699463327370296,0.3,0.3,275,289
120,54.31372549019608,52.05724508050089,0.2,0.2,277,291
121,54.70588235294118,52.41502683363149,0.2,0.2,279,293
122,55.09803921568628,52.772808586762075,0.2,0.2,281,295
123,55.490196078431374,53.13059033989267,0.2,0.2,283,297
124,56.07843137254902,53.66726296958855,0.3,0.3,286,300
125,56.666666666666664,54.203935599284435,0.3,0.3,289,303
126,57.05882352941176,54.56171735241503,0.2,0.2,291,305
127,57.45098039215686,54.91949910554562,0.2,0.2,293,307
128,57.647058823529406,55.09838998211091,0.1,0.1,294,308
129,58.03921568627452,55.4561717352415,0.2,0.2,296,310
130,58.235294117647065,55.635062611806795,0.1,0.1,297,311
131,58.235294117647065,55.635062611806795,0.0,0.0,297,311
132,58.43137254901961,55.81395348837209,0.1,0.1111111111111111,298,312
133,58.82352941176471,56.17173524150269,0.2,0.2,300,314
134,59.21568627450981,56.529516994633276,0.2,0.2,302,316
135,59.411764705882355,56.708407871198574,0.1,0.1,303,317
136,59.411764705882355,56.88729874776386,0.0,0.1,303,318
137,59.6078431372549,57.066189624329155,0.1,0.1,304,319
138,59.6078431372549,57.066189624329155,0.0,0.0,304,319
139,59.6078431372549,57.066189624329155,0.0,0.0,304,319
140,59.80392156862745,57.42397137745975,0.1,0.2,305,321
141,60.19607843137255,57.78175313059034,0.2,0.2,307,323
142,60.3921568627451,57.960644007155636,0.1,0.1,308,324
143,60.78431372549019,58.31842576028623,0.2,0.2,310,326
144,61.372549019607845,58.85509838998211,0.3333333333333333,0.3,313,329
145,61.76470588235294,59.2128801431127,0.2222222222222222,0.2,315,331
146,61.96078431372549,59.391771019677996,0.1,0.1,316,332
147,62.15686274509804,59.570661896243294,0.1,0.1,317,333
148,62.35294117647059,59.74955277280859,0.1,0.1,318,334
149,62.94117647058823,60.28622540250447,0.3,0.3,321,337
150,63.33333333333333,60.82289803220036,0.2,0.3,323,340
151,63.52941176470588,61.001788908765654,0.1,0.1,324,341
152,63.725490196078425,61.18067978533095,0.1,0.1,325,342
153,63.921568627450974,61.53846153846154,0.1,0.2,326,344
154,64.11764705882354,61.71735241502684,0.1,0.1,327,345
155,64.31372549019608,62.07513416815742,0.1111111111111111,0.2,328,347
156,64.50980392156863,62.25402504472272,0.1,0.1,329,348
157,64.70588235294117,62.432915921288014,0.1,0.1,330,349
158,64.90196078431373,62.61180679785331,0.1,0.1,331,350
159,65.29411764705883,62.9695885509839,0.2,0.2,333,352
160,65.68627450980392,63.327370304114496,0.2,0.2,335,354
161,65.88235294117646,63.50626118067979,0.1,0.1,336,355
162,66.27450980392156,63.864042933810374,0.2,0.2,338,357
163,66.47058823529412,64.04293381037567,0.1,0.1,339,358
164,66.66666666666666,64.22182468694096,0.1,0.1,340,359
165,66.86274509803921,64.40071556350627,0.1,0.1,341,360
166,67.05882352941175,64.75849731663685,0.1,0.2,342,362
167,67.25490196078432,64.93738819320215,0.1,0.1,343,363
168,67.45098039215686,65.29516994633273,0.1,0.2,344,365
169,67.45098039215686,65.29516994633273,0.0,0.0,344,365
170,67.64705882352942,65.47406082289802,0.1,0.1,345,366
171,68.03921568627452,65.83184257602862,0.2,0.2,347,368
172,68.23529411764706,66.01073345259391,0.1,0.1,348,369
173,68.23529411764706,66.01073345259391,0.0,0.0,348,369
174,68.43137254901961,66.18962432915922,0.1,0.1,349,370
175,68.62745098039215,66.3685152057245,0.1,0.1,350,371
176,68.82352941176471,66.54740608228981,0.1,0.1,351,372
177,69.01960784313725,66.7262969588551,0.1,0.1,352,373
178,69.2156862745098,67.08407871198568,0.1,0.2,353,375
179,69.2156862745098,67.26296958855099,0.0,0.1,353,376
180,69.41176470588235,67.44186046511628,0.1,0.1,354,377
181,69.41176470588235,67.44186046511628,0.0,0.0,354,377
182,69.41176470588235,67.44186046511628,0.0,0.0,354,377
183,69.41176470588235,67.44186046511628,0.0,0.0,354,377
184,69.41176470588235,67.44186046511628,0.0,0.0,354,377
185,69.6078431372549,67.62075134168157,0.1,0.1,355,378
186,69.80392156862744,67.79964221824687,0.1,0.1,356,379
187,70.0,67.97853309481216,0.1,0.1,357,380
188,70.0,67.97853309481216,0.0,0.0,357,380
189,70.19607843137254,68.15742397137747,0.1,0.1,358,381
190,70.3921568627451,68.33631484794276,0.1,0.1,359,382
191,70.58823529411765,68.51520572450805,0.1,0.1,360,383
192,70.7843137254902,68.69409660107334,0.1,0.1,361,384
193,70.7843137254902,68.69409660107334,0.0,0.0,361,384
194,70.98039215686275,68.87298747763863,0.1,0.1,362,385
195,70.98039215686275,68.87298747763863,0.0,0.0,362,385
196,70.98039215686275,68.87298747763863,0.0,0.0,362,385
197,71.37254901960785,69.23076923076923,0.2,0.2,364,387
198,71.76470588235294,69.58855098389982,0.2,0.2,366,389
199,71.96078431372548,69.76744186046511,0.1,0.1,367,390
200,72.15686274509804,69.94633273703042,0.1,0.1,368,391
201,72.35294117647058,70.12522361359571,0.1,0.1,369,392
202,72.74509803921568,70.48300536672629,0.2,0.2,371,394
203,73.13725490196077,70.84078711985688,0.2,0.2,373,396
204,73.33333333333333,71.19856887298748,0.1,0.2,374,398
205,73.52941176470588,71.37745974955277,0.1,0.1,375,399
206,73.52941176470588,71.37745974955277,0.0,0.0,375,399
207,73.72549019607844,71.55635062611807,0.1,0.1,376,400
208,73.92156862745098,71.73524150268337,0.1111111111111111,0.1,377,401
209,74.31372549019608,72.09302325581395,0.2,0.2,379,403
210,74.70588235294117,72.45080500894454,0.2,0.2,381,405
211,74.90196078431373,72.62969588550983,0.1111111111111111,0.1,382,406
212,75.49019607843137,73.16636851520573,0.3,0.3,385,409
213,75.88235294117646,73.52415026833631,0.2,0.2,387,411
