turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,1.0309278350515463,0.8403361344537815,1.0,1.0
1,4.123711340206185,2.5210084033613445,1.0,0.6666666666666666
2,5.154639175257731,3.361344537815126,0.5,0.25
3,7.216494845360824,5.042016806722689,0.4,0.3333333333333333
4,10.309278350515463,7.563025210084033,0.6,0.375
5,11.34020618556701,9.243697478991598,0.16666666666666666,0.2222222222222222
6,12.371134020618557,10.084033613445378,0.16666666666666666,0.1
7,14.432989690721648,11.76470588235294,0.2857142857142857,0.18181818181818182
8,17.525773195876287,14.285714285714285,0.375,0.23076923076923078
9,20.618556701030926,17.647058823529413,0.3,0.26666666666666666
10,22.68041237113402,19.327731092436977,0.18181818181818182,0.125
11,26.804123711340207,22.689075630252102,0.3333333333333333,0.2222222222222222
12,31.958762886597935,27.73109243697479,0.35714285714285715,0.3
13,36.08247422680412,31.932773109243694,0.23529411764705882,0.23809523809523808
14,41.23711340206185,36.97478991596639,0.2631578947368421,0.2608695652173913
15,44.329896907216494,40.33613445378151,0.15789473684210525,0.18181818181818182
16,46.391752577319586,42.016806722689076,0.10526315789473684,0.08695652173913043
17,49.48453608247423,44.537815126050425,0.15789473684210525,0.125
18,53.608247422680414,47.89915966386555,0.18181818181818182,0.15384615384615385
19,55.670103092783506,51.26050420168067,0.09090909090909091,0.14814814814814814
