turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
91,12.549019607843137,12.880143112701253,0.0,1.0,64,72
92,12.549019607843137,12.880143112701253,0.0,0.0,64,72
93,12.549019607843137,12.880143112701253,0.0,0.0,64,72
94,12.549019607843137,13.059033989266547,0.0,1.0,64,73
95,12.549019607843137,13.059033989266547,0.0,0.0,64,73
96,12.549019607843137,13.059033989266547,0.0,0.0,64,73
97,12.549019607843137,13.059033989266547,0.0,0.0,64,73
98,12.745098039215685,13.237924865831843,1.0,1.0,65,74
99,12.745098039215685,13.237924865831843,0.0,0.0,65,74
100,12.745098039215685,13.237924865831843,0.0,0.0,65,74
101,12.745098039215685,13.237924865831843,0.0,0.0,65,74
102,12.745098039215685,13.237924865831843,0.0,0.0,65,74
103,12.745098039215685,13.237924865831843,0.0,0.0,65,74
104,12.745098039215685,13.237924865831843,0.0,0.0,65,74
105,12.745098039215685,13.237924865831843,0.0,0.0,65,74
106,12.745098039215685,13.237924865831843,0.0,0.0,65,74
107,12.941176470588237,13.416815742397137,1.0,1.0,66,75
108,12.941176470588237,13.416815742397137,0.0,0.0,66,75
109,12.941176470588237,13.416815742397137,0.0,0.0,66,75
110,13.137254901960786,13.595706618962433,1.0,1.0,67,76
111,13.137254901960786,13.595706618962433,0.0,0.0,67,76
112,13.137254901960786,13.595706618962433,0.0,0.0,67,76
113,13.137254901960786,13.595706618962433,0.0,0.0,67,76
114,13.137254901960786,13.595706618962433,0.0,0.0,67,76
115,13.333333333333334,13.774597495527727,1.0,1.0,68,77
116,13.333333333333334,13.774597495527727,0.0,0.0,68,77
117,13.333333333333334,13.774597495527727,0.0,0.0,68,77
118,13.333333333333334,13.774597495527727,0.0,0.0,68,77
119,13.333333333333334,13.774597495527727,0.0,0.0,68,77
120,13.529411764705882,13.953488372093023,1.0,1.0,69,78
121,13.529411764705882,13.953488372093023,0.0,0.0,69,78
122,13.529411764705882,13.953488372093023,0.0,0.0,69,78
123,13.725490196078432,14.132379248658319,1.0,1.0,70,79
124,13.92156862745098,14.311270125223613,1.0,1.0,71,80
125,14.117647058823529,14.490161001788909,1.0,1.0,72,81
126,14.313725490196077,14.669051878354203,1.0,1.0,73,82
127,14.50980392156863,14.847942754919499,1.0,1.0,74,83
128,14.50980392156863,14.847942754919499,0.0,0.0,74,83
129,14.705882352941178,15.026833631484795,1.0,1.0,75,84
130,14.901960784313726,15.20572450805009,1.0,1.0,76,85
131,15.098039215686274,15.384615384615385,1.0,1.0,77,86
132,15.098039215686274,15.384615384615385,0.0,0.0,77,86
133,15.098039215686274,15.384615384615385,0.0,0.0,77,86
134,15.294117647058824,15.56350626118068,1.0,1.0,78,87
135,15.490196078431373,15.742397137745975,1.0,1.0,79,88
136,15.490196078431373,15.742397137745975,0.0,0.0,79,88
137,15.686274509803921,15.92128801431127,1.0,1.0,80,89
138,15.88235294117647,16.100178890876567,1.0,1.0,81,90
139,16.07843137254902,16.27906976744186,1.0,1.0,82,91
140,16.274509803921568,16.457960644007155,1.0,1.0,83,92
141,16.470588235294116,16.636851520572453,1.0,1.0,84,93
142,16.470588235294116,16.636851520572453,0.0,0.0,84,93
143,16.666666666666664,16.815742397137747,1.0,1.0,85,94
144,16.862745098039216,16.99463327370304,1.0,1.0,86,95
145,17.058823529411764,17.173524150268335,1.0,1.0,87,96
146,17.058823529411764,17.173524150268335,0.0,0.0,87,96
147,17.254901960784313,17.352415026833633,1.0,1.0,88,97
148,17.254901960784313,17.531305903398927,0.0,1.0,88,98
149,17.254901960784313,17.531305903398927,0.0,0.0,88,98
150,17.45098039215686,17.71019677996422,1.0,1.0,89,99
151,17.647058823529413,17.88908765652952,1.0,1.0,90,100
152,17.84313725490196,18.067978533094813,1.0,1.0,91,101
153,18.03921568627451,18.246869409660107,1.0,1.0,92,102
154,18.03921568627451,18.425760286225405,0.0,1.0,92,103
155,18.03921568627451,18.425760286225405,0.0,0.0,92,103
156,18.03921568627451,18.425760286225405,0.0,0.0,92,103
157,18.03921568627451,18.425760286225405,0.0,0.0,92,103
158,18.03921568627451,18.425760286225405,0.0,0.0,92,103
159,18.03921568627451,18.425760286225405,0.0,0.0,92,103
160,18.03921568627451,18.425760286225405,0.0,0.0,92,103
161,18.03921568627451,18.425760286225405,0.0,0.0,92,103
162,18.235294117647058,18.6046511627907,1.0,1.0,93,104
163,18.43137254901961,18.783542039355993,1.0,1.0,94,105
164,18.627450980392158,18.962432915921287,1.0,1.0,95,106
165,18.823529411764707,19.141323792486585,1.0,1.0,96,107
166,19.019607843137255,19.32021466905188,1.0,1.0,97,108
167,19.215686274509807,19.499105545617173,1.0,1.0,98,109
168,19.411764705882355,19.67799642218247,1.0,1.0,99,110
169,19.607843137254903,19.856887298747765,1.0,1.0,100,111
170,19.607843137254903,19.856887298747765,0.0,0.0,100,111
171,19.80392156862745,20.03577817531306,1.0,1.0,101,112
172,20.0,20.214669051878353,1.0,1.0,102,113
173,20.19607843137255,20.39355992844365,1.0,1.0,103,114
174,20.392156862745097,20.572450805008945,1.0,1.0,104,115
175,20.588235294117645,20.75134168157424,1.0,1.0,105,116
176,20.784313725490197,20.930232558139537,1.0,1.0,106,117
177,20.980392156862745,21.10912343470483,1.0,1.0,107,118
178,21.176470588235293,21.288014311270125,1.0,1.0,108,119
179,21.176470588235293,21.288014311270125,0.0,0.0,108,119
180,21.372549019607842,21.46690518783542,1.0,1.0,109,120
181,21.568627450980394,21.645796064400717,1.0,1.0,110,121
182,21.764705882352942,21.82468694096601,1.0,1.0,111,122
183,21.96078431372549,22.003577817531305,1.0,1.0,112,123
184,22.15686274509804,22.182468694096602,1.0,1.0,113,124
185,22.35294117647059,22.361359570661897,1.0,1.0,114,125
186,22.54901960784314,22.54025044722719,1.0,1.0,115,126
187,22.745098039215687,22.719141323792485,1.0,1.0,116,127
188,22.941176470588236,22.898032200357783,1.0,1.0,117,128
189,23.137254901960784,23.076923076923077,1.0,1.0,118,129
190,23.333333333333332,23.25581395348837,1.0,1.0,119,130
191,23.52941176470588,23.43470483005367,1.0,1.0,120,131
192,23.72549019607843,23.613595706618963,1.0,1.0,121,132
193,23.92156862745098,23.792486583184257,1.0,1.0,122,133
194,24.11764705882353,23.97137745974955,1.0,1.0,123,134
