turn,pct_explored
0,1.0309278350515463
1,4.123711340206185
2,5.154639175257731
3,6.185567010309279
4,7.216494845360824
5,8.24742268041237
6,8.24742268041237
7,8.24742268041237
8,9.278350515463918
9,9.278350515463918
10,9.278350515463918
11,9.278350515463918
12,10.309278350515463
13,12.371134020618557
14,14.432989690721648
15,16.49484536082474
16,17.525773195876287
17,19.587628865979383
18,21.649484536082475
19,23.711340206185564
20,25.773195876288657
21,27.835051546391753
22,28.865979381443296
23,30.927835051546392
24,31.958762886597935
25,32.98969072164948
26,34.02061855670103
27,35.051546391752574
28,36.08247422680412
29,37.11340206185567
30,38.144329896907216
31,38.144329896907216
32,38.144329896907216
33,38.144329896907216
34,38.144329896907216
35,38.144329896907216
36,38.144329896907216
37,38.144329896907216
38,38.144329896907216
39,38.144329896907216
40,38.144329896907216
41,38.144329896907216
42,38.144329896907216
43,38.144329896907216
44,38.144329896907216
45,38.144329896907216
46,38.144329896907216
47,38.144329896907216
48,38.144329896907216
49,38.144329896907216
50,38.144329896907216
51,38.144329896907216
52,38.144329896907216
53,38.144329896907216
54,38.144329896907216
55,38.144329896907216
56,38.144329896907216
57,38.144329896907216
58,38.144329896907216
59,38.144329896907216
60,38.144329896907216
61,38.144329896907216
62,38.144329896907216
63,38.144329896907216
64,38.144329896907216
65,38.144329896907216
66,38.144329896907216
67,38.144329896907216
68,38.144329896907216
69,38.144329896907216
70,38.144329896907216
71,38.144329896907216
72,38.144329896907216
73,38.144329896907216
74,38.144329896907216
75,38.144329896907216
76,38.144329896907216
77,38.144329896907216
78,38.144329896907216
79,38.144329896907216
80,38.144329896907216
81,38.144329896907216
82,38.144329896907216
83,38.144329896907216
84,38.144329896907216
85,38.144329896907216
86,38.144329896907216
87,38.144329896907216
88,38.144329896907216
89,38.144329896907216
90,38.144329896907216
91,38.144329896907216
92,38.144329896907216
93,38.144329896907216
94,38.144329896907216
95,38.144329896907216
96,38.144329896907216
97,38.144329896907216
98,38.144329896907216
99,38.144329896907216
