turn,pct_explored
0,1.0309278350515463
1,3.0927835051546393
2,5.154639175257731
3,8.24742268041237
4,11.34020618556701
5,14.432989690721648
6,18.556701030927837
7,20.618556701030926
8,25.773195876288657
9,29.896907216494846
10,35.051546391752574
11,40.20618556701031
12,43.29896907216495
13,47.42268041237113
14,52.57731958762887
15,58.76288659793815
16,61.855670103092784
17,65.97938144329896
18,68.04123711340206
19,70.10309278350515
20,73.19587628865979
21,75.25773195876289
22,77.31958762886599
23,80.41237113402062
24,82.4742268041237
25,83.50515463917526
26,84.5360824742268
27,86.5979381443299
28,88.65979381443299
29,88.65979381443299
30,89.69072164948454
31,90.72164948453609
32,91.75257731958763
33,92.78350515463917
34,92.78350515463917
35,93.81443298969072
36,94.84536082474226
37,95.87628865979381
38,96.90721649484536
39,97.9381443298969
40,97.9381443298969
41,98.96907216494846
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,100.0
58,100.0
59,100.0
60,100.0
61,100.0
62,100.0
63,100.0
64,100.0
65,100.0
66,100.0
67,100.0
68,100.0
69,100.0
70,100.0
71,100.0
72,100.0
73,100.0
74,100.0
75,100.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
