turn,pct_explored,novelty_score
0,1.0309278350515463,1.0
1,2.0618556701030926,1.0
2,3.0927835051546393,1.0
3,4.123711340206185,1.0
4,5.154639175257731,1.0
5,5.154639175257731,0.0
6,5.154639175257731,0.0
7,6.185567010309279,1.0
8,7.216494845360824,1.0
9,8.24742268041237,1.0
10,9.278350515463918,1.0
11,10.309278350515463,1.0
12,11.34020618556701,1.0
13,12.371134020618557,1.0
14,13.402061855670103,1.0
15,13.402061855670103,0.0
16,13.402061855670103,0.0
17,13.402061855670103,0.0
18,13.402061855670103,0.0
19,13.402061855670103,0.0
20,13.402061855670103,0.0
21,13.402061855670103,0.0
22,14.432989690721648,1.0
23,15.463917525773196,1.0
24,16.49484536082474,1.0
25,16.49484536082474,0.0
26,16.49484536082474,0.0
27,16.49484536082474,0.0
28,16.49484536082474,0.0
29,16.49484536082474,0.0
30,16.49484536082474,0.0
31,17.525773195876287,1.0
32,18.556701030927837,1.0
33,19.587628865979383,1.0
34,20.618556701030926,1.0
35,21.649484536082475,1.0
36,22.68041237113402,1.0
37,22.68041237113402,0.0
38,22.68041237113402,0.0
39,23.711340206185564,1.0
40,24.742268041237114,1.0
41,25.773195876288657,1.0
42,26.804123711340207,1.0
43,27.835051546391753,1.0
44,28.865979381443296,1.0
45,29.896907216494846,1.0
46,29.896907216494846,0.0
47,30.927835051546392,1.0
48,31.958762886597935,1.0
49,32.98969072164948,1.0
50,34.02061855670103,1.0
51,34.02061855670103,0.0
52,34.02061855670103,0.0
53,34.02061855670103,0.0
54,34.02061855670103,0.0
55,34.02061855670103,0.0
56,35.051546391752574,1.0
57,36.08247422680412,1.0
58,37.11340206185567,1.0
59,38.144329896907216,1.0
60,39.175257731958766,1.0
61,40.20618556701031,1.0
62,41.23711340206185,1.0
63,42.2680412371134,1.0
64,43.29896907216495,1.0
65,44.329896907216494,1.0
66,45.36082474226804,1.0
67,45.36082474226804,0.0
68,45.36082474226804,0.0
69,45.36082474226804,0.0
70,46.391752577319586,1.0
71,46.391752577319586,0.0
72,46.391752577319586,0.0
73,46.391752577319586,0.0
74,46.391752577319586,0.0
75,47.42268041237113,1.0
76,47.42268041237113,0.0
77,47.42268041237113,0.0
78,47.42268041237113,0.0
79,47.42268041237113,0.0
80,48.45360824742268,1.0
81,48.45360824742268,0.0
82,49.48453608247423,1.0
83,50.51546391752577,1.0
84,51.546391752577314,1.0
85,52.57731958762887,1.0
86,52.57731958762887,0.0
87,53.608247422680414,1.0
88,53.608247422680414,0.0
89,53.608247422680414,0.0
90,53.608247422680414,0.0
91,53.608247422680414,0.0
92,53.608247422680414,0.0
93,53.608247422680414,0.0
94,54.63917525773196,1.0
95,54.63917525773196,0.0
96,54.63917525773196,0.0
97,54.63917525773196,0.0
98,54.63917525773196,0.0
99,54.63917525773196,0.0
